품종,크기(체중에따른),크기(라벨링),나이,산책시간(시간),체중,적정음수량,성별,중성화여부,색상
말티즈,소,0,7,0.8,2,130,M,Y,흰색
말티즈,소,0,7,0.8,2,130,F,N,흰색
말티즈,소,0,7,0.8,2.2,143,M,N,흰
말티즈,소,0,7,0.8,2.5,162.5,F,U,흰색
말티즈,소,0,7,0.8,2.7,175.5,M,Y,흰
말티즈,소,0,7,0.8,2.9,188.5,F,U,백
말티즈,소,0,7,0.8,3,195,F,U,흰색
말티즈,소,0,7,0.8,3,195,M,Y,백색
말티즈,소,0,7,0.8,3.16,205.4,F,U,백색
말티즈,소,0,7,0.8,3.5,227.5,M,N,흰색
말티즈,소,0,7,0.8,4,260,M,N,백
말티즈,소,0,7,0.8,4,260,M,Y,백
말티즈,소,0,7,0.8,4,260,F,N,백
말티즈,소,0,7,0.8,4.3,279.5,F,U,흰색
말티즈,소,0,7,0.8,5.6,364,M,Y,흰색
말티즈,소,0,7,0.8,6.4,416,M,Y,흰색
말티즈,소,0,6,0.8,1.26,81.9,F,U,백색
말티즈,소,0,6,0.8,2,130,F,N,흰색
말티즈,소,0,6,0.8,2,130,M,N,흰색
말티즈,소,0,6,0.8,2,130,M,N,흰색
말티즈,소,0,6,0.8,2.3,149.5,M,Y,흰색
말티즈,소,0,6,0.8,2.6,169,M,Y,흰
말티즈,소,0,6,0.8,2.6,169,F,N,흰색
말티즈,소,0,6,0.8,2.8,182,F,Y,흰색
말티즈,소,0,6,0.8,2.8,182,F,U,흰색
말티즈,소,0,6,0.8,2.9,188.5,F,U,백색
말티즈,소,0,6,0.8,2.9,188.5,F,U,흰색
말티즈,소,0,6,0.8,3,195,F,U,흰색
말티즈,소,0,6,0.8,3,195,F,U,백
말티즈,소,0,6,0.8,3,195,M,Y,백
말티즈,소,0,6,0.8,3.2,208,F,U,흰
말티즈,소,0,6,0.8,3.4,221,M,Y,흰색
말티즈,소,0,6,0.8,3.4,221,M,N,백색
말티즈,소,0,6,0.8,3.5,227.5,F,U,백
말티즈,소,0,6,0.8,3.5,227.5,M,Y,흰색
말티즈,소,0,6,0.8,3.8,247,F,U,흰/갈
말티즈,소,0,6,0.8,4,260,M,Y,흰
말티즈,소,0,6,0.8,4,260,F,U,백
말티즈,소,0,6,0.8,4,260,M,N,백
말티즈,소,0,6,0.8,4.64,301.6,M,Y,백색
말티즈,소,0,6,0.8,4.7,305.5,M,Y,백색
말티즈,소,0,6,0.8,5,325,M,Y,흰색
말티즈,소,0,6,0.8,5,325,F,U,흰색
말티즈,소,0,6,0.8,5.2,338,F,U,흰
말티즈,소,0,6,0.8,5.3,344.5,M,Y,백색
말티즈,소,0,6,0.8,5.3,344.5,M,U,흰
말티즈,소,0,6,0.8,6,390,F,U,흰색
말티즈,소,0,6,0.8,6,390,M,Y,흰색
말티즈,소,0,6,0.8,6.7,435.5,M,Y,흰
말티즈,소,0,5,0.8,2,130,F,N,흰색
말티즈,소,0,5,0.8,2.3,149.5,M,Y,흰색
말티즈,소,0,5,0.8,2.8,182,M,N,흰색
말티즈,소,0,5,0.8,2.9,188.5,F,U,흰색
말티즈,소,0,5,0.8,2.9,188.5,F,N,흰
말티즈,소,0,5,0.8,3,195,F,U,흰색
말티즈,소,0,5,0.8,3,195,F,U,백색
말티즈,소,0,5,0.8,3,195,M,Y,흰색
말티즈,소,0,5,0.8,3,195,F,N,흰색
말티즈,소,0,5,0.8,3,195,M,Y,흰색
말티즈,소,0,5,0.8,3.06,198.9,M,Y,하양
말티즈,소,0,5,0.8,3.18,206.7,F,N,하양
말티즈,소,0,5,0.8,3.2,208,F,U,흰색
말티즈,소,0,5,0.8,3.4,221,M,N,흰/갈
말티즈,소,0,5,0.8,3.5,227.5,M,N,흰색
말티즈,소,0,5,0.8,3.8,247,M,N,흰색
말티즈,소,0,5,0.8,3.8,247,F,N,흰색
말티즈,소,0,5,0.8,3.8,247,F,U,백색
말티즈,소,0,5,0.8,3.86,250.9,M,N,백색
말티즈,소,0,5,0.8,4,260,F,U,백
말티즈,소,0,5,0.8,4,260,M,N,백
말티즈,소,0,5,0.8,4,260,M,U,백
말티즈,소,0,5,0.8,4,260,M,N,백
말티즈,소,0,5,0.8,4,260,M,Y,백
말티즈,소,0,5,0.8,4,260,M,Y,흰색
말티즈,소,0,5,0.8,4,260,F,U,흰색
말티즈,소,0,5,0.8,4.1,266.5,F,N,흰색
말티즈,소,0,5,0.8,4.56,296.4,M,Y,하양
말티즈,소,0,5,0.8,4.9,318.5,F,U,백색
말티즈,소,0,5,0.8,5,325,F,U,흰색
말티즈,소,0,5,0.8,5,325,M,Y,흰색
말티즈,소,0,5,0.8,5.5,357.5,F,U,흰색
말티즈,소,0,5,0.8,6.06,393.9,M,N,백색
말티즈,소,0,5,0.8,8,520,M,U,흰색
말티즈,소,0,4,0.8,1.9,123.5,F,Y,갈색
말티즈,소,0,4,0.8,2,130,F,U,백
말티즈,소,0,4,0.8,2.3,149.5,M,Y,흰색
말티즈,소,0,4,0.8,2.5,162.5,M,N,백
말티즈,소,0,4,0.8,2.6,169,M,N,흰색
말티즈,소,0,4,0.8,2.8,182,M,Y,흰색
말티즈,소,0,4,0.8,2.8,182,M,Y,흰색
말티즈,소,0,4,0.8,3,195,F,U,백
