품종,나이,산책시간(시간),체중,성별,중성화여부,색상
말티즈,3,0.8,3,M,N,백
말티즈,3,0.8,3,M,Y,백
말티즈,3,0.8,3,F,U,흰색
말티즈,3,0.8,3,F,U,백
말티즈,3,0.8,3,F,U,백흑
말티즈,3,0.8,3,F,U,백
말티즈,3,0.8,3,M,N,흰/갈
말티즈,3,0.8,3.1,F,N,흰색
말티즈,3,0.8,3.16,F,U,백색
말티즈,3,0.8,3.2,M,Y,흰색
말티즈,3,0.8,3.3,M,Y,흰
말티즈,3,0.8,3.3,F,N,"검정색, 흰색"
말티즈,3,0.8,3.4,M,N,흰
말티즈,3,0.8,3.4,F,U,백색
말티즈,3,0.8,3.5,F,U,백색
말티즈,3,0.8,3.5,M,Y,흰색
말티즈,3,0.8,3.6,F,N,흰색
말티즈,3,0.8,3.6,M,N,흰색
말티즈,3,0.8,3.7,M,N,흰색
말티즈,3,0.8,3.7,M,U,흰색
말티즈,3,0.8,3.8,M,N,흰색
말티즈,3,0.8,3.8,F,N,흰색
말티즈,3,0.8,3.9,F,U,흰색
말티즈,3,0.8,3.9,M,Y,흰
말티즈,3,0.8,3.9,F,Y,아이보리
말티즈,3,0.8,3.92,M,Y,하양
말티즈,3,0.8,4,M,U,회색
말티즈,3,0.8,4,F,U,흰색
말티즈,3,0.8,4,M,N,흰색
말티즈,3,0.8,4,M,N,흰색
말티즈,3,0.8,4.1,M,N,흰색
말티즈,3,0.8,4.3,M,U,흰색
말티즈,3,0.8,4.4,M,N,흰색
말티즈,3,0.8,4.5,M,N,흰색
말티즈,3,0.8,4.5,M,N,흰색
말티즈,3,0.8,4.7,M,Y,백색
말티즈,3,0.8,5,M,Y,백
말티즈,3,0.8,5,M,N,백색
말티즈,3,0.8,5,M,Y,백
말티즈,3,0.8,5,M,N,백
말티즈,3,0.8,5,F,U,흰색
말티즈,3,0.8,5.6,F,N,흰색
말티즈,3,0.8,6,M,N,백
말티즈,3,0.8,7.5,M,N,옅은황색
말티즈,2,0.8,2,F,U,흰
말티즈,2,0.8,2.2,M,N,하양
말티즈,2,0.8,2.3,M,N,백색
말티즈,2,0.8,2.6,M,Y,흰
말티즈,2,0.8,2.6,F,U,흰색
말티즈,2,0.8,2.8,M,N,흰
말티즈,2,0.8,2.8,F,Y,흰색
말티즈,2,0.8,3,F,U,백
말티즈,2,0.8,3,F,U,흰색
말티즈,2,0.8,3,F,U,백
말티즈,2,0.8,3,M,N,백
말티즈,2,0.8,3,F,N,흰색
말티즈,2,0.8,3.1,M,U,흰색
말티즈,2,0.8,3.2,M,Y,흰
말티즈,2,0.8,3.3,M,Y,흰색
말티즈,2,0.8,3.5,M,N,흰색
말티즈,2,0.8,3.5,F,U,백색
말티즈,2,0.8,4,M,N,흰색
말티즈,2,0.8,4,M,Y,흰색
